# amplitude duration logL logPrior
8.204584807652843814e-01 1.661502413985566662e+01 4.095702999292352331e+01 -5.228481599920394629e+00
8.833817728144378600e-01 1.433820224472452054e+01 4.240495857115888612e+01 -5.228481599920394629e+00
1.032469663409925742e+00 1.300793983072274074e+01 4.327288143107706730e+01 -5.228481599920394629e+00
1.039604340768590873e+00 1.487650607453212892e+01 4.335277257920297700e+01 -5.228481599920394629e+00
1.034921277727943512e+00 1.303614108632210566e+01 4.336659138720482076e+01 -5.228481599920394629e+00
8.997320801386379241e-01 1.412854726951805517e+01 4.337835915904268802e+01 -5.228481599920394629e+00
1.057983188784913375e+00 1.353189986203198991e+01 4.355552071078312792e+01 -5.228481599920394629e+00
8.559002291859779676e-01 1.750090736004036529e+01 4.400645350572980874e+01 -5.228481599920394629e+00
1.014836968256839667e+00 1.547341064199268423e+01 4.401157322010114115e+01 -5.228481599920394629e+00
1.027459772922980408e+00 1.509412662347703105e+01 4.416490041448987824e+01 -5.228481599920394629e+00
8.440123980488597466e-01 1.695648973512137303e+01 4.423971325006283450e+01 -5.228481599920394629e+00
9.985423505865151927e-01 1.581640342275180622e+01 4.435893564614181628e+01 -5.228481599920394629e+00
8.781805050237011523e-01 1.485135077815125548e+01 4.463638163538290371e+01 -5.228481599920394629e+00
9.615908819243822458e-01 1.653060283601086766e+01 4.465762317639143930e+01 -5.228481599920394629e+00
9.707002998733132992e-01 1.337411153407165543e+01 4.483222777299735640e+01 -5.228481599920394629e+00
9.695898258528985458e-01 1.631121317259806958e+01 4.510857593956730227e+01 -5.228481599920394629e+00
1.041429490709647299e+00 1.427696963496206450e+01 4.512250014920662977e+01 -5.228481599920394629e+00
8.527369360921164265e-01 1.668718689310720649e+01 4.530284607020010412e+01 -5.228481599920394629e+00
1.002992120072929483e+00 1.331079946782979562e+01 4.538775768573594860e+01 -5.228481599920394629e+00
8.597189527236659412e-01 1.704903768074387216e+01 4.540177452430225458e+01 -5.228481599920394629e+00
9.897056506374387608e-01 1.583323522437277653e+01 4.547059734394686359e+01 -5.228481599920394629e+00
9.501810963531261978e-01 1.365374151833721861e+01 4.547225452581545824e+01 -5.228481599920394629e+00
1.038318195332202931e+00 1.423649535706621272e+01 4.555524403727378058e+01 -5.228481599920394629e+00
9.949320799950654992e-01 1.569130357800769815e+01 4.559107818105373156e+01 -5.228481599920394629e+00
1.009165630724856433e+00 1.336126233508185557e+01 4.565825563610574989e+01 -5.228481599920394629e+00
8.729602749777861659e-01 1.527522331007898870e+01 4.568590390759574404e+01 -5.228481599920394629e+00
9.989777705768296823e-01 1.336754333297253261e+01 4.569216362199993853e+01 -5.228481599920394629e+00
8.644625604790462381e-01 1.567301298796803621e+01 4.573653341349408663e+01 -5.228481599920394629e+00
8.657247412902324690e-01 1.704296328057365884e+01 4.575795391990688188e+01 -5.228481599920394629e+00
8.810558292271553071e-01 1.718784291293530941e+01 4.578122016440100595e+01 -5.228481599920394629e+00
8.586694727811591266e-01 1.624068297507727365e+01 4.589457571365069555e+01 -5.228481599920394629e+00
9.593532163914083588e-01 1.636816820924366667e+01 4.591290348394065290e+01 -5.228481599920394629e+00
8.774810512466174606e-01 1.518385249297628548e+01 4.595089484872427477e+01 -5.228481599920394629e+00
9.061093018714369007e-01 1.706603171757149440e+01 4.595796293925755549e+01 -5.228481599920394629e+00
9.637346757470858227e-01 1.627697024869749853e+01 4.598030465903676145e+01 -5.228481599920394629e+00
9.753498342371208496e-01 1.351806820083488780e+01 4.603021771188753064e+01 -5.228481599920394629e+00
1.029579755752149550e+00 1.448189170423067296e+01 4.610197565892204352e+01 -5.228481599920394629e+00
9.422788427624912977e-01 1.384529620715021103e+01 4.612268675052597189e+01 -5.228481599920394629e+00
8.606448891398592593e-01 1.644195329104155334e+01 4.614712569163647515e+01 -5.228481599920394629e+00
