# amplitude duration logL logPrior
1.498347395363075663e+01 1.385300648964265235e+01 -4.966080924061323458e+03 -5.228481599920394629e+00
1.488814292163650421e+01 1.401682486500612690e+01 -4.965693852729858008e+03 -5.228481599920394629e+00
1.476079326360362920e+01 1.406301307278618573e+01 -4.962656592944608747e+03 -5.228481599920394629e+00
1.485043616630653318e+01 1.382286093783513081e+01 -4.962655134260704472e+03 -5.228481599920394629e+00
1.491776689187746996e+01 1.395185452610989607e+01 -4.962580424034853422e+03 -5.228481599920394629e+00
1.488080167683054889e+01 1.399898980678183413e+01 -4.962470154497865224e+03 -5.228481599920394629e+00
1.491915067627145319e+01 1.379370866629447256e+01 -4.962311012703350571e+03 -5.228481599920394629e+00
1.490542746915070360e+01 1.396572195218386625e+01 -4.962180120545282989e+03 -5.228481599920394629e+00
1.480690815005883465e+01 1.387160470686987779e+01 -4.962072312499817599e+03 -5.228481599920394629e+00
1.486197885670089569e+01 1.381950890076261018e+01 -4.962043380391687606e+03 -5.228481599920394629e+00
1.494649732347445159e+01 1.381136956620716383e+01 -4.961954373775684871e+03 -5.228481599920394629e+00
1.487848572998569097e+01 1.399611715609845852e+01 -4.961884348971864711e+03 -5.228481599920394629e+00
1.484281170052184429e+01 1.383623424218515297e+01 -4.961857434642533917e+03 -5.228481599920394629e+00
1.476107354743794886e+01 1.404946614448978082e+01 -4.961794249912668420e+03 -5.228481599920394629e+00
1.493941520496614750e+01 1.390034930096826926e+01 -4.961793718755593545e+03 -5.228481599920394629e+00
1.474778402182263370e+01 1.402200109963224683e+01 -4.961728867687806996e+03 -5.228481599920394629e+00
1.480240488863672965e+01 1.404971075819461923e+01 -4.961624311136390133e+03 -5.228481599920394629e+00
1.493368833886744795e+01 1.380717736600600176e+01 -4.961553034264870803e+03 -5.228481599920394629e+00
1.491392349362870462e+01 1.380371705273252303e+01 -4.961476920083688128e+03 -5.228481599920394629e+00
1.480288553681258712e+01 1.404793968704084328e+01 -4.961473823442931462e+03 -5.228481599920394629e+00
1.490486302443039612e+01 1.395877633393952166e+01 -4.961466715213700809e+03 -5.228481599920394629e+00
1.490391312462942608e+01 1.380563544186976088e+01 -4.961417484522628001e+03 -5.228481599920394629e+00
1.477449879487084594e+01 1.392883783285771493e+01 -4.961341076965870343e+03 -5.228481599920394629e+00
1.492533793616497029e+01 1.380786675270657682e+01 -4.961276606681444719e+03 -5.228481599920394629e+00
1.491381634560430136e+01 1.394192246507486743e+01 -4.961208061679830280e+03 -5.228481599920394629e+00
1.489818240604311583e+01 1.380937939615996157e+01 -4.961206667522434145e+03 -5.228481599920394629e+00
1.494209837700755017e+01 1.382430177085653433e+01 -4.961201320058918100e+03 -5.228481599920394629e+00
1.478491212574749269e+01 1.391241776810262465e+01 -4.961191535634757201e+03 -5.228481599920394629e+00
1.493891332014715623e+01 1.388835999705253066e+01 -4.961171635778282507e+03 -5.228481599920394629e+00
1.489069234739814007e+01 1.397342236707715735e+01 -4.961062966718071948e+03 -5.228481599920394629e+00
1.493769655813195207e+01 1.388923941694837616e+01 -4.961061271816400222e+03 -5.228481599920394629e+00
1.484857883598037986e+01 1.401663813562787908e+01 -4.961040424702782730e+03 -5.228481599920394629e+00
1.478625202134326067e+01 1.391247960812863305e+01 -4.961019544965105524e+03 -5.228481599920394629e+00
1.487269210074037495e+01 1.399325026331163535e+01 -4.960962907876403733e+03 -5.228481599920394629e+00
1.484352525430204750e+01 1.401956767579681440e+01 -4.960932611854869720e+03 -5.228481599920394629e+00
1.490557176461821065e+01 1.395136421486474276e+01 -4.960931519558584114e+03 -5.228481599920394629e+00
1.475680696389532720e+01 1.398887754591766530e+01 -4.960908241788422856e+03 -5.228481599920394629e+00
1.477481449802181501e+01 1.393507923688423134e+01 -4.960904057626255963e+03 -5.228481599920394629e+00
1.480649784460708851e+01 1.388497454240128270e+01 -4.960851441550228628e+03 -5.228481599920394629e+00
1.484678934642893644e+01 1.384248381246184501e+01 -4.960850161510865291e+03 -5.228481599920394629e+00
1.478444144620375234e+01 1.391823020561204771e+01 -4.960824189923590893e+03 -5.228481599920394629e+00
1.493997094039678508e+01 1.383480310303539085e+01 -4.960780111644140561e+03 -5.228481599920394629e+00
1.485087622411979424e+01 1.401190654771043853e+01 -4.960761020716319763e+03 -5.228481599920394629e+00
1.492231011197656265e+01 1.381581393525085133e+01 -4.960710736472758981e+03 -5.228481599920394629e+00
1.489052719351110099e+01 1.396962418347465373e+01 -4.960706238625120932e+03 -5.228481599920394629e+00
1.490163251917961063e+01 1.381477221581269177e+01 -4.960683944623337084e+03 -5.228481599920394629e+00
1.483410011128212957e+01 1.402300624618631275e+01 -4.960610320163283177e+03 -5.228481599920394629e+00
1.480716769860976001e+01 1.388695822988393047e+01 -4.960605398345237518e+03 -5.228481599920394629e+00
1.485517569643936575e+01 1.400649270953519654e+01 -4.960596977903031984e+03 -5.228481599920394629e+00
1.479852299155797546e+01 1.389906650686597978e+01 -4.960589378908720391e+03 -5.228481599920394629e+00
1.480554715008982392e+01 1.388964724887519431e+01 -4.960559550005262281e+03 -5.228481599920394629e+00
