# amplitude duration logL logPrior
6.433369749056505604e-02 1.461824538163761389e+01 8.681385526740982073e+01 -5.228481599920394629e+00
1.687158368594298963e-01 1.477767113189244341e+01 8.701010503960088727e+01 -5.228481599920394629e+00
1.378501086171448065e-01 1.760923873089399549e+01 8.723726740763046905e+01 -5.228481599920394629e+00
7.412967923427718486e-02 1.843711412967094887e+01 8.755069737984396738e+01 -5.228481599920394629e+00
9.809265230883652820e-02 4.991694532372973114e+00 8.804290714826998965e+01 -5.228481599920394629e+00
1.387589016499520267e-01 1.605097653375269218e+01 8.848396697119348175e+01 -5.228481599920394629e+00
8.837959317171852069e-02 1.679963073809910412e+01 8.869509302848516086e+01 -5.228481599920394629e+00
1.220499612666986478e-01 3.971287300739958948e+00 8.875864520966405280e+01 -5.228481599920394629e+00
8.200699417641879596e-02 1.183699551304279041e+01 8.878923094591519316e+01 -5.228481599920394629e+00
3.953976224802153716e-01 3.179559138838733201e+00 8.879231009161982513e+01 -5.228481599920394629e+00
8.794663926058413073e-02 1.577695610615103128e+01 8.887657483472986542e+01 -5.228481599920394629e+00
3.536584738895049984e-01 4.899382971838615930e+00 8.891723694730455918e+01 -5.228481599920394629e+00
9.546353077939206955e-02 1.662510313459380384e+01 8.902422857740162954e+01 -5.228481599920394629e+00
1.230716140305799233e-01 4.169216618511226713e+00 8.919009570298385370e+01 -5.228481599920394629e+00
1.199637333843585618e-01 1.634473213599982344e+01 8.919611516815974994e+01 -5.228481599920394629e+00
8.673774934804298620e-02 1.083896740705115747e+01 8.924953629057830540e+01 -5.228481599920394629e+00
2.449903822453333435e-01 8.775239836949396022e+00 8.930009970197434654e+01 -5.228481599920394629e+00
1.735670572823004576e-01 1.262191528090877490e+01 8.937318028656565616e+01 -5.228481599920394629e+00
9.727547329391771080e-02 1.545479193482418978e+01 8.940733672430911838e+01 -5.228481599920394629e+00
1.190155638002502042e-01 1.584522379953480709e+01 8.949039060541647927e+01 -5.228481599920394629e+00
2.940843449796627374e-01 6.713863034335325608e+00 8.953001994674272623e+01 -5.228481599920394629e+00
9.130774190869148099e-02 1.261591044250420346e+01 8.959040572639500510e+01 -5.228481599920394629e+00
9.359904447820230344e-02 1.293279177748361697e+01 8.972314705191145379e+01 -5.228481599920394629e+00
1.546075456411992732e-01 1.351439732966572649e+01 8.974700899205619464e+01 -5.228481599920394629e+00
9.552252471407809975e-02 1.332639883409791182e+01 8.979117905734183580e+01 -5.228481599920394629e+00
1.638475855606907339e-01 1.287397372917695115e+01 8.981337513414526086e+01 -5.228481599920394629e+00
1.651863250299477892e-01 3.186636421887984127e+00 8.982142583102373123e+01 -5.228481599920394629e+00
9.371338175363175260e-02 1.112094138022991530e+01 8.989729159471549735e+01 -5.228481599920394629e+00
1.331590383468930494e-01 4.126656757008869469e+00 8.990360155999593417e+01 -5.228481599920394629e+00
1.039428934905297641e-01 1.450643292750425317e+01 8.992152280180563650e+01 -5.228481599920394629e+00
9.480138940843399475e-02 9.609368324981392817e+00 8.996061326127716029e+01 -5.228481599920394629e+00
1.978421175248866182e-01 1.077953699188434911e+01 8.996394662786622121e+01 -5.228481599920394629e+00
